ICD9編碼,ICD10編碼,ICD9內容,ICD10內容,對應情形
824.0,S82.51xA,"內踝閉鎖性骨折Fracture of medial malleolus of ankle, closed","右側脛骨內踝移位閉鎖性骨折之初期照護Displaced fracture of medial malleolus of right tibia, initial encounter for closed fracture",10000
824.0,S82.52xA,"內踝閉鎖性骨折Fracture of medial malleolus of ankle, closed","左側脛骨內踝移位閉鎖性骨折之初期照護Displaced fracture of medial malleolus of left tibia, initial encounter for closed fracture",10000
824.0,S82.53XA,"內踝閉鎖性骨折Fracture of medial malleolus of ankle, closed","未明示側性脛骨內踝移位閉鎖性骨折之初期照護Displaced fracture of medial malleolus of unspecified tibia, initial encounter for closed fracture",10000
824.0,S82.54xA,"內踝閉鎖性骨折Fracture of medial malleolus of ankle, closed","右側脛骨內踝非移位閉鎖性骨折之初期照護Nondisplaced fracture of medial malleolus of right tibia, initial encounter for closed fracture",10000
824.0,S82.55xA,"內踝閉鎖性骨折Fracture of medial malleolus of ankle, closed","左側脛骨內踝非移位閉鎖性骨折之初期照護Nondisplaced fracture of medial malleolus of left tibia, initial encounter for closed fracture",10000
824.0,S82.56XA,"內踝閉鎖性骨折Fracture of medial malleolus of ankle, closed","未明示側性脛骨內踝非移位閉鎖性骨折之初期照護Nondisplaced fracture of medial malleolus of unspecified tibia, initial encounter for closed fracture",10000
824.0,S82.871A,"內踝閉鎖性骨折Fracture of medial malleolus of ankle, closed","右側脛骨Pilon移位閉鎖性骨折之初期照護Displaced pilon fracture of right tibia, initial encounter for closed fracture",10000
824.0,S82.872A,"內踝閉鎖性骨折Fracture of medial malleolus of ankle, closed","左側脛骨Pilon移位閉鎖性骨折之初期照護Displaced pilon fracture of left tibia, initial encounter for closed fracture",10000
824.0,S82.873A,"內踝閉鎖性骨折Fracture of medial malleolus of ankle, closed","未明示側性脛骨Pilon移位閉鎖性骨折之初期照護Displaced pilon fracture of unspecified tibia, initial encounter for closed fracture",10000
824.0,S82.874A,"內踝閉鎖性骨折Fracture of medial malleolus of ankle, closed","右側脛骨Pilon非移位閉鎖性骨折之初期照護Nondisplaced pilon fracture of right tibia, initial encounter for closed fracture",10000
824.0,S82.875A,"內踝閉鎖性骨折Fracture of medial malleolus of ankle, closed","左側脛骨Pilon非移位閉鎖性骨折之初期照護Nondisplaced pilon fracture of left tibia, initial encounter for closed fracture",10000
824.0,S82.876A,"內踝閉鎖性骨折Fracture of medial malleolus of ankle, closed","未明示側性脛骨Pilon非移位閉鎖性骨折之初期照護Nondisplaced pilon fracture of unspecified tibia, initial encounter for closed fracture",10000
824.1,S82.51xB,"內踝開放性骨折Fracture of medial malleolus of ankle, open","右側脛骨內踝移位第I或II型開放性骨折之初期照護Displaced fracture of medial malleolus of right tibia, initial encounter for open fracture type I or II",10000
824.1,S82.51xC,"內踝開放性骨折Fracture of medial malleolus of ankle, open","右側脛骨內踝移位IIIA,IIIB,或IIIC型開放性骨折之初期照護Displaced fracture of medial malleolus of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",10000
824.1,S82.52xB,"內踝開放性骨折Fracture of medial malleolus of ankle, open","左側脛骨內踝移位第I或II型開放性骨折之初期照護Displaced fracture of medial malleolus of left tibia, initial encounter for open fracture type I or II",10000
824.1,S82.52xC,"內踝開放性骨折Fracture of medial malleolus of ankle, open","左側脛骨內踝移位IIIA,IIIB,或IIIC型開放性骨折之初期照護Displaced fracture of medial malleolus of left tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",10000
824.1,S82.53XB,"內踝開放性骨折Fracture of medial malleolus of ankle, open","未明示側性脛骨內踝移位第I或II型開放性骨折之初期照護Displaced fracture of medial malleolus of unspecified tibia, initial encounter for open fracture type I or II",10000
824.1,S82.53XC,"內踝開放性骨折Fracture of medial malleolus of ankle, open","未明示側性脛骨內踝移位IIIA,IIIB,或IIIC型開放性骨折之初期照護Displaced fracture of medial malleolus of unspecified tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",10000
824.1,S82.54xB,"內踝開放性骨折Fracture of medial malleolus of ankle, open","右側脛骨內踝非移位第I或II型開放性骨折之初期照護Nondisplaced fracture of medial malleolus of right tibia, initial encounter for open fracture type I or II",10000
824.1,S82.54xC,"內踝開放性骨折Fracture of medial malleolus of ankle, open","右側脛骨內踝非移位IIIA,IIIB,或IIIC型開放性骨折之初期照護Nondisplaced fracture of medial malleolus of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",10000
824.1,S82.55xB,"內踝開放性骨折Fracture of medial malleolus of ankle, open","左側脛骨內踝非移位第I或II型開放性骨折之初期照護Nondisplaced fracture of medial malleolus of left tibia, initial encounter for open fracture type I or II",10000
824.1,S82.55xC,"內踝開放性骨折Fracture of medial malleolus of ankle, open","左側脛骨內踝非移位IIIA,IIIB,或IIIC型開放性骨折之初期照護Nondisplaced fracture of medial malleolus of left tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",10000
824.1,S82.56XB,"內踝開放性骨折Fracture of medial malleolus of ankle, open","未明示側性脛骨內踝非移位第I或II型開放性骨折之初期照護Nondisplaced fracture of medial malleolus of unspecified tibia, initial encounter for open fracture type I or II",10000
824.1,S82.56XC,"內踝開放性骨折Fracture of medial malleolus of ankle, open","未明示側性脛骨內踝非移位IIIA,IIIB,或IIIC型開放性骨折之初期照護Nondisplaced fracture of medial malleolus of unspecified tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",10000
824.1,S82.871B,"內踝開放性骨折Fracture of medial malleolus of ankle, open","右側脛骨Pilon移位第I或II型開放性骨折之初期照護Displaced pilon fracture of right tibia, initial encounter for open fracture type I or II",10000
824.1,S82.871C,"內踝開放性骨折Fracture of medial malleolus of ankle, open","右側脛骨Pilon移位IIIA,IIIB,或IIIC型開放性骨折之初期照護Displaced pilon fracture of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",10000
824.1,S82.872B,"內踝開放性骨折Fracture of medial malleolus of ankle, open","左側脛骨Pilon移位第I或II型開放性骨折之初期照護Displaced pilon fracture of left tibia, initial encounter for open fracture type I or II",10000
824.1,S82.872C,"內踝開放性骨折Fracture of medial malleolus of ankle, open","左側脛骨Pilon移位IIIA,IIIB,或IIIC型開放性骨折之初期照護Displaced pilon fracture of left tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",10000
